date,Amazon,Ebay,Craigslist
2015-06-28,50,43,40
2015-07-05,52,43,41
2015-07-12,63,44,41
2015-07-19,53,45,42
2015-07-26,53,44,41
2015-08-02,54,44,42
2015-08-09,58,44,41
2015-08-16,53,44,41
2015-08-23,55,43,40
2015-08-30,53,43,39
2015-09-06,52,43,38
2015-09-13,52,43,38
2015-09-20,54,44,38
2015-09-27,53,43,38
2015-10-04,53,44,37
2015-10-11,59,45,37
2015-10-18,56,45,37
2015-10-25,58,45,37
2015-11-01,59,45,37
2015-11-08,60,45,35
2015-11-15,63,45,35
2015-11-22,85,47,33
2015-11-29,85,47,35
2015-12-06,79,46,35
2015-12-13,80,45,35
2015-12-20,72,40,34
2015-12-27,66,42,39
2016-01-03,52,39,38
2016-01-10,48,37,36
2016-01-17,51,37,37
2016-01-24,48,38,37
2016-01-31,48,38,39
2016-02-07,46,38,39
2016-02-14,46,38,38
2016-02-21,45,37,39
2016-02-28,46,37,39
2016-03-06,46,36,39
2016-03-13,45,35,39
2016-03-20,46,36,39
2016-03-27,46,36,39
2016-04-03,46,36,38
2016-04-10,45,36,39
2016-04-17,45,34,38
2016-04-24,45,35,39
2016-05-01,46,35,39
2016-05-08,44,34,39
2016-05-15,45,34,39
2016-05-22,46,34,39
2016-05-29,47,35,39
2016-06-05,45,33,38
2016-06-12,46,33,38
2016-06-19,47,32,39
2016-06-26,47,32,40
2016-07-03,49,33,39
2016-07-10,54,33,38
2016-07-17,47,33,40
2016-07-24,50,34,40
2016-07-31,49,34,40
2016-08-07,49,33,38
2016-08-14,47,32,39
2016-08-21,49,32,38
2016-08-28,50,32,39
2016-09-04,51,33,38
2016-09-11,49,32,37
2016-09-18,48,32,36
2016-09-25,51,33,35
2016-10-02,54,33,34
2016-10-09,51,34,35
2016-10-16,54,34,35
2016-10-23,54,33,35
2016-10-30,52,34,34
2016-11-06,52,33,33
2016-11-13,60,35,34
2016-11-20,79,36,32
2016-11-27,74,35,33
2016-12-04,70,35,33
2016-12-11,75,34,33
2016-12-18,67,30,33
2016-12-25,64,32,34
2017-01-01,59,33,35
2017-01-08,57,32,35
2017-01-15,55,32,34
2017-01-22,53,32,35
2017-01-29,52,32,35
2017-02-05,51,32,35
2017-02-12,50,31,35
2017-02-19,52,33,38
2017-02-26,52,33,38
2017-03-05,51,33,37
2017-03-12,49,31,36
2017-03-19,50,31,37
2017-03-26,51,31,37
2017-04-02,49,31,36
2017-04-09,50,32,37
2017-04-16,50,31,36
2017-04-23,52,31,36
2017-04-30,54,32,37
2017-05-07,54,31,35
2017-05-14,53,31,35
2017-05-21,51,30,36
2017-05-28,52,31,36
2017-06-04,52,31,36
2017-06-11,54,30,37
2017-06-18,55,29,37
2017-06-25,56,31,37
2017-07-02,54,30,35
2017-07-09,69,31,37
2017-07-16,56,31,36
2017-07-23,58,32,36
2017-07-30,59,32,36
2017-08-06,60,32,36
2017-08-13,58,31,35
2017-08-20,58,31,34
2017-08-27,60,31,34
2017-09-03,60,32,33
2017-09-10,60,32,32
2017-09-17,61,31,33
2017-09-24,60,32,34
2017-10-01,63,32,33
2017-10-08,63,32,33
2017-10-15,61,31,33
2017-10-22,61,31,32
2017-10-29,61,31,32
2017-11-05,65,33,32
2017-11-12,70,33,32
2017-11-19,91,34,30
2017-11-26,85,33,31
2017-12-03,82,32,31
2017-12-10,83,32,30
2017-12-17,77,28,31
2017-12-24,74,29,32
2017-12-31,68,30,32
2018-01-07,63,29,33
2018-01-14,63,30,32
2018-01-21,63,29,32
2018-01-28,60,30,32
2018-02-04,59,29,32
2018-02-11,57,28,32
2018-02-18,56,29,33
2018-02-25,58,29,32
2018-03-04,57,28,32
2018-03-11,56,28,31
2018-03-18,57,29,31
2018-03-25,58,28,28
2018-04-01,58,28,26
2018-04-08,55,28,26
2018-04-15,54,26,25
2018-04-22,55,27,26
2018-04-29,56,27,25
2018-05-06,55,26,24
2018-05-13,55,26,23
2018-05-20,54,26,24
2018-05-27,55,26,24
2018-06-03,56,26,23
2018-06-10,57,25,23
2018-06-17,54,25,23
2018-06-24,55,24,23
2018-07-01,54,24,23
2018-07-08,58,25,23
2018-07-15,75,25,23
2018-07-22,58,25,24
2018-07-29,59,25,23
2018-08-05,58,24,23
2018-08-12,57,25,22
2018-08-19,58,25,22
2018-08-26,59,25,22
2018-09-02,60,24,20
2018-09-09,58,24,20
2018-09-16,57,25,20
2018-09-23,56,24,20
2018-09-30,58,24,20
2018-10-07,62,24,19
2018-10-14,60,24,19
2018-10-21,61,24,18
2018-10-28,61,24,18
2018-11-04,63,25,19
2018-11-11,69,25,18
2018-11-18,89,27,17
2018-11-25,81,27,18
2018-12-02,77,26,18
2018-12-09,79,25,18
2018-12-16,79,23,18
2018-12-23,68,22,18
2018-12-30,65,24,20
2019-01-06,64,24,19
2019-01-13,60,24,19
2019-01-20,59,24,19
2019-01-27,58,23,19
2019-02-03,58,24,19
2019-02-10,57,23,19
2019-02-17,57,24,20
2019-02-24,56,23,20
2019-03-03,57,24,20
2019-03-10,55,24,19
2019-03-17,56,23,19
2019-03-24,56,23,20
2019-03-31,57,23,19
2019-04-07,56,23,19
2019-04-14,57,22,19
2019-04-21,56,22,19
2019-04-28,58,23,18
2019-05-05,58,23,19
2019-05-12,59,23,18
2019-05-19,57,22,19
2019-05-26,59,23,19
2019-06-02,60,22,18
2019-06-09,60,22,18
2019-06-16,60,23,18
2019-06-23,59,21,18
2019-06-30,60,22,18
2019-07-07,64,23,18
2019-07-14,81,22,18
2019-07-21,60,21,18
2019-07-28,61,21,18
2019-08-04,61,21,18
2019-08-11,62,22,18
2019-08-18,73,22,18
2019-08-25,66,22,17
2019-09-01,62,21,16
2019-09-08,62,21,17
2019-09-15,62,21,16
2019-09-22,64,22,16
2019-09-29,70,21,16
2019-10-06,65,22,16
2019-10-13,67,22,15
2019-10-20,70,22,16
2019-10-27,67,22,15
2019-11-03,69,23,15
2019-11-10,73,23,15
2019-11-17,83,23,15
2019-11-24,100,24,14
2019-12-01,92,23,14
2019-12-08,88,23,14
2019-12-15,91,21,14
2019-12-22,80,20,15
2019-12-29,73,22,16
2020-01-05,70,22,15
2020-01-12,67,22,15
2020-01-19,68,22,15
2020-01-26,66,22,15
2020-02-02,67,21,15
2020-02-09,64,22,15
2020-02-16,65,22,16
2020-02-23,65,21,15
2020-03-01,68,21,15
2020-03-08,68,20,14
2020-03-15,79,19,13
2020-03-22,81,20,13
2020-03-29,85,23,13
2020-04-05,85,23,14
2020-04-12,88,24,15
2020-04-19,89,25,15
2020-04-26,88,26,16
2020-05-03,87,24,16
2020-05-10,86,25,16
2020-05-17,87,25,16
2020-05-24,82,24,16
2020-05-31,82,23,15
2020-06-07,81,24,16
2020-06-14,79,23,15
2020-06-21,79,24,16
