date,Skype for Business
2015-06-28,13
2015-07-05,14
2015-07-12,16
2015-07-19,14
2015-07-26,15
2015-08-02,15
2015-08-09,16
2015-08-16,16
2015-08-23,17
2015-08-30,17
2015-09-06,16
2015-09-13,18
2015-09-20,20
2015-09-27,18
2015-10-04,19
2015-10-11,19
2015-10-18,21
2015-10-25,20
2015-11-01,20
2015-11-08,17
2015-11-15,21
2015-11-22,17
2015-11-29,19
2015-12-06,21
2015-12-13,19
2015-12-20,13
2015-12-27,8
2016-01-03,16
2016-01-10,17
2016-01-17,18
2016-01-24,19
2016-01-31,18
2016-02-07,17
2016-02-14,17
2016-02-21,19
2016-02-28,17
2016-03-06,20
2016-03-13,19
2016-03-20,17
2016-03-27,18
2016-04-03,19
2016-04-10,20
2016-04-17,20
2016-04-24,21
2016-05-01,18
2016-05-08,21
2016-05-15,20
2016-05-22,20
2016-05-29,20
2016-06-05,22
2016-06-12,22
2016-06-19,19
2016-06-26,21
2016-07-03,18
2016-07-10,20
2016-07-17,20
2016-07-24,20
2016-07-31,20
2016-08-07,21
2016-08-14,18
2016-08-21,20
2016-08-28,20
2016-09-04,20
2016-09-11,22
2016-09-18,21
2016-09-25,22
2016-10-02,23
2016-10-09,22
2016-10-16,24
2016-10-23,25
2016-10-30,24
2016-11-06,23
2016-11-13,25
2016-11-20,20
2016-11-27,23
2016-12-04,24
2016-12-11,23
2016-12-18,19
2016-12-25,10
2017-01-01,18
2017-01-08,24
2017-01-15,26
2017-01-22,25
2017-01-29,26
2017-02-05,26
2017-02-12,24
2017-02-19,26
2017-02-26,26
2017-03-05,27
2017-03-12,27
2017-03-19,26
2017-03-26,27
2017-04-02,27
2017-04-09,24
2017-04-16,24
2017-04-23,27
2017-04-30,23
2017-05-07,26
2017-05-14,27
2017-05-21,25
2017-05-28,24
2017-06-04,25
2017-06-11,24
2017-06-18,27
2017-06-25,26
2017-07-02,23
2017-07-09,24
2017-07-16,26
2017-07-23,27
2017-07-30,27
2017-08-06,24
2017-08-13,26
2017-08-20,26
2017-08-27,26
2017-09-03,26
2017-09-10,29
2017-09-17,27
2017-09-24,30
2017-10-01,27
2017-10-08,28
2017-10-15,28
2017-10-22,28
2017-10-29,26
2017-11-05,29
2017-11-12,28
2017-11-19,26
2017-11-26,28
2017-12-03,26
2017-12-10,27
2017-12-17,22
2017-12-24,11
2017-12-31,18
2018-01-07,27
2018-01-14,27
2018-01-21,27
2018-01-28,29
2018-02-04,29
2018-02-11,26
2018-02-18,27
2018-02-25,28
2018-03-04,28
2018-03-11,28
2018-03-18,27
2018-03-25,25
2018-04-01,26
2018-04-08,26
2018-04-15,26
2018-04-22,26
2018-04-29,25
2018-05-06,24
2018-05-13,27
2018-05-20,27
2018-05-27,24
2018-06-03,27
2018-06-10,27
2018-06-17,27
2018-06-24,27
2018-07-01,23
2018-07-08,27
2018-07-15,27
2018-07-22,25
2018-07-29,27
2018-08-05,26
2018-08-12,25
2018-08-19,26
2018-08-26,25
2018-09-02,26
2018-09-09,27
2018-09-16,27
2018-09-23,28
2018-09-30,26
2018-10-07,28
2018-10-14,27
2018-10-21,27
2018-10-28,26
2018-11-04,27
2018-11-11,28
2018-11-18,23
2018-11-25,25
2018-12-02,26
2018-12-09,25
2018-12-16,23
2018-12-23,10
2018-12-30,14
2019-01-06,24
2019-01-13,26
2019-01-20,25
2019-01-27,27
2019-02-03,28
2019-02-10,26
2019-02-17,24
2019-02-24,23
2019-03-03,25
2019-03-10,24
2019-03-17,26
2019-03-24,23
2019-03-31,22
2019-04-07,24
2019-04-14,21
2019-04-21,20
2019-04-28,22
2019-05-05,24
2019-05-12,23
2019-05-19,23
2019-05-26,21
2019-06-02,23
2019-06-09,23
2019-06-16,22
2019-06-23,23
2019-06-30,21
2019-07-07,21
2019-07-14,21
2019-07-21,20
2019-07-28,19
2019-08-04,20
2019-08-11,20
2019-08-18,20
2019-08-25,20
2019-09-01,19
2019-09-08,23
2019-09-15,21
2019-09-22,20
2019-09-29,18
2019-10-06,19
2019-10-13,20
2019-10-20,19
2019-10-27,17
2019-11-03,19
2019-11-10,19
2019-11-17,19
2019-11-24,16
2019-12-01,17
2019-12-08,19
2019-12-15,16
2019-12-22,8
2019-12-29,8
2020-01-05,17
2020-01-12,18
2020-01-19,17
2020-01-26,18
2020-02-02,17
2020-02-09,19
2020-02-16,19
2020-02-23,19
2020-03-01,23
2020-03-08,41
2020-03-15,100
2020-03-22,88
2020-03-29,66
2020-04-05,54
2020-04-12,48
2020-04-19,46
2020-04-26,35
2020-05-03,32
2020-05-10,32
2020-05-17,28
2020-05-24,24
2020-05-31,23
2020-06-07,22
2020-06-14,22
2020-06-21,19
