date,Skype
2015-06-28,62
2015-07-05,64
2015-07-12,64
2015-07-19,63
2015-07-26,64
2015-08-02,64
2015-08-09,63
2015-08-16,64
2015-08-23,62
2015-08-30,62
2015-09-06,60
2015-09-13,59
2015-09-20,100
2015-09-27,58
2015-10-04,55
2015-10-11,56
2015-10-18,55
2015-10-25,54
2015-11-01,53
2015-11-08,52
2015-11-15,53
2015-11-22,51
2015-11-29,52
2015-12-06,54
2015-12-13,54
2015-12-20,61
2015-12-27,54
2016-01-03,47
2016-01-10,46
2016-01-17,46
2016-01-24,45
2016-01-31,44
2016-02-07,43
2016-02-14,42
2016-02-21,42
2016-02-28,41
2016-03-06,41
2016-03-13,41
2016-03-20,40
2016-03-27,40
2016-04-03,38
2016-04-10,37
2016-04-17,38
2016-04-24,37
2016-05-01,37
2016-05-08,37
2016-05-15,37
2016-05-22,37
2016-05-29,37
2016-06-05,37
2016-06-12,37
2016-06-19,37
2016-06-26,36
2016-07-03,36
2016-07-10,35
2016-07-17,36
2016-07-24,36
2016-07-31,36
2016-08-07,34
2016-08-14,36
2016-08-21,36
2016-08-28,36
2016-09-04,35
2016-09-11,35
2016-09-18,35
2016-09-25,35
2016-10-02,38
2016-10-09,35
2016-10-16,35
2016-10-23,35
2016-10-30,35
2016-11-06,35
2016-11-13,38
2016-11-20,35
2016-11-27,34
2016-12-04,32
2016-12-11,34
2016-12-18,33
2016-12-25,33
2017-01-01,32
2017-01-08,33
2017-01-15,32
2017-01-22,30
2017-01-29,31
2017-02-05,31
2017-02-12,30
2017-02-19,30
2017-02-26,34
2017-03-05,40
2017-03-12,33
2017-03-19,35
2017-03-26,31
2017-04-02,30
2017-04-09,28
2017-04-16,30
2017-04-23,29
2017-04-30,29
2017-05-07,29
2017-05-14,27
2017-05-21,26
2017-05-28,26
2017-06-04,27
2017-06-11,26
2017-06-18,30
2017-06-25,27
2017-07-02,28
2017-07-09,29
2017-07-16,28
2017-07-23,28
2017-07-30,28
2017-08-06,27
2017-08-13,27
2017-08-20,26
2017-08-27,28
2017-09-03,28
2017-09-10,28
2017-09-17,27
2017-09-24,27
2017-10-01,27
2017-10-08,27
2017-10-15,27
2017-10-22,25
2017-10-29,25
2017-11-05,27
2017-11-12,27
2017-11-19,26
2017-11-26,26
2017-12-03,26
2017-12-10,26
2017-12-17,25
2017-12-24,24
2017-12-31,24
2018-01-07,28
2018-01-14,26
2018-01-21,26
2018-01-28,27
2018-02-04,29
2018-02-11,24
2018-02-18,24
2018-02-25,24
2018-03-04,25
2018-03-11,24
2018-03-18,24
2018-03-25,22
2018-04-01,22
2018-04-08,22
2018-04-15,22
2018-04-22,21
2018-04-29,20
2018-05-06,20
2018-05-13,20
2018-05-20,20
2018-05-27,19
2018-06-03,19
2018-06-10,19
2018-06-17,18
2018-06-24,18
2018-07-01,18
2018-07-08,19
2018-07-15,19
2018-07-22,20
2018-07-29,18
2018-08-05,18
2018-08-12,18
2018-08-19,18
2018-08-26,18
2018-09-02,18
2018-09-09,18
2018-09-16,18
2018-09-23,17
2018-09-30,17
2018-10-07,17
2018-10-14,17
2018-10-21,17
2018-10-28,16
2018-11-04,16
2018-11-11,16
2018-11-18,16
2018-11-25,15
2018-12-02,15
2018-12-09,15
2018-12-16,14
2018-12-23,12
2018-12-30,12
2019-01-06,16
2019-01-13,16
2019-01-20,17
2019-01-27,17
2019-02-03,17
2019-02-10,17
2019-02-17,17
2019-02-24,15
2019-03-03,16
2019-03-10,16
2019-03-17,15
2019-03-24,15
2019-03-31,15
2019-04-07,15
2019-04-14,14
2019-04-21,14
2019-04-28,14
2019-05-05,15
2019-05-12,15
2019-05-19,14
2019-05-26,14
2019-06-02,14
2019-06-09,14
2019-06-16,14
2019-06-23,14
2019-06-30,14
2019-07-07,14
2019-07-14,14
2019-07-21,13
2019-07-28,13
2019-08-04,12
2019-08-11,13
2019-08-18,14
2019-08-25,14
2019-09-01,14
2019-09-08,14
2019-09-15,14
2019-09-22,14
2019-09-29,14
2019-10-06,13
2019-10-13,13
2019-10-20,13
2019-10-27,12
2019-11-03,13
2019-11-10,13
2019-11-17,13
2019-11-24,12
2019-12-01,12
2019-12-08,12
2019-12-15,12
2019-12-22,10
2019-12-29,9
2020-01-05,12
2020-01-12,12
2020-01-19,12
2020-01-26,12
2020-02-02,13
2020-02-09,13
2020-02-16,13
2020-02-23,13
2020-03-01,15
2020-03-08,28
2020-03-15,76
2020-03-22,76
2020-03-29,58
2020-04-05,48
2020-04-12,42
2020-04-19,40
2020-04-26,33
2020-05-03,28
2020-05-10,26
2020-05-17,22
2020-05-24,20
2020-05-31,19
2020-06-07,18
2020-06-14,17
2020-06-21,16
